phase,epoch
queue_committed,1783781226.584835
controller_claimed,1783781226.612237
starting_committed,1783781226.859529
provision_return,1783781254.399423
post_provision_update_start,1783781254.400015
post_provision_update_end,1783781254.411087
autodown_start,1783781254.413297
autodown_end,1783781255.755239
execute_start,1783781255.756127
add_job_start,1783781255.757939
add_job_end,1783781256.987062
queue_job_start,1783781256.993251
queue_job_end,1783781258.530550
execute_end,1783781258.531151
placement_group_ready,1783781259.772181
rank_discovery_start,1783781259.774815
rank_discovery_end,1783781260.199718
user_tasks_submitted,1783781260.203730
